====================Start New Logs==============================
config: ND | instance: tic-tac-toe-3player-4x4  | solver: depqbf | preprocessor: bloqqer | time: 194
config: GB | instance: break-through-2x5  | solver: caqe | preprocessor: bloqqer | time: 43
config: GB | instance: break-through-2x5  | solver: depqbf | preprocessor: bloqqer | time: 5
config: GB | instance: break-through-3x4  | solver: caqe | preprocessor: bloqqer | time: 37
config: GB | instance: break-through-3x4  | solver: depqbf | preprocessor: bloqqer | time: 9
config: GB | instance: break-through-2x6  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: GB | instance: break-through-2x6  | solver: depqbf | preprocessor: bloqqer | time: 41
config: GB | instance: break-through-4x4  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: GB | instance: break-through-4x4  | solver: depqbf | preprocessor: bloqqer | time: 118
config: GB | instance: connect-3-4x4  | solver: caqe | preprocessor: bloqqer | time: 1
config: GB | instance: connect-3-4x4  | solver: depqbf | preprocessor: bloqqer | time: 1
config: GB | instance: connect-3-5x5  | solver: caqe | preprocessor: bloqqer | time: 187
config: GB | instance: connect-3-5x5  | solver: depqbf | preprocessor: bloqqer | time: 15
config: GB | instance: connect-3-6x6  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: GB | instance: connect-3-6x6  | solver: depqbf | preprocessor: bloqqer | time: 953
config: GB | instance: connect-4-4x4  | solver: caqe | preprocessor: bloqqer | time: 2
config: GB | instance: connect-4-4x4  | solver: depqbf | preprocessor: bloqqer | time: 1
config: GB | instance: connect-4-5x4  | solver: caqe | preprocessor: bloqqer | time: 497
config: GB | instance: connect-4-5x4  | solver: depqbf | preprocessor: bloqqer | time: 81
config: GB | instance: connect-4-5x5  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: GB | instance: connect-4-5x5  | solver: depqbf | preprocessor: bloqqer | time: > 1800
config: GB | instance: gttt-4x4-1-1-fatty-v2  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: GB | instance: gttt-4x4-1-1-fatty-v2  | solver: depqbf | preprocessor: bloqqer | time: 44
config: GB | instance: gttt-4x4-1-1-elly-v2  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: GB | instance: gttt-4x4-1-1-elly-v2  | solver: depqbf | preprocessor: bloqqer | time: 108
config: GB | instance: gttt-4x4-1-1-knobby-v2  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: GB | instance: gttt-4x4-1-1-knobby-v2  | solver: depqbf | preprocessor: bloqqer | time: 100
config: GB | instance: gttt-4x4-1-1-skinny-v2  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: GB | instance: gttt-4x4-1-1-skinny-v2  | solver: depqbf | preprocessor: bloqqer | time: 65
config: GB | instance: gttt-4x4-1-1-tippy-v2  | solver: caqe | preprocessor: bloqqer | time: 401
config: GB | instance: gttt-4x4-1-1-tippy-v2  | solver: depqbf | preprocessor: bloqqer | time: 47
config: GB | instance: gttt-4x4-2-2-elly-v2  | solver: caqe | preprocessor: bloqqer | time: 235
config: GB | instance: gttt-4x4-2-2-elly-v2  | solver: depqbf | preprocessor: bloqqer | time: 4
config: GB | instance: gttt-4x4-2-2-knobby-v2  | solver: caqe | preprocessor: bloqqer | time: 99
config: GB | instance: gttt-4x4-2-2-knobby-v2  | solver: depqbf | preprocessor: bloqqer | time: 3
config: GB | instance: gttt-4x4-2-2-skinny-v2  | solver: caqe | preprocessor: bloqqer | time: > 1800
